Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.823	0	0
FBtr0300738	2350	2176.66	0	0
FBtr0300739	2172	1998.66	0	0
FBtr0300737	2184	2010.66	1.48776	23
FBtr0300736	2338	2164.66	0	0
FBtr0078628	2467	2293.66	0	0
FBtr0300740	2479	2305.66	0	0
FBtr0078627	2301	2127.66	0	0
FBtr0300741	2313	2139.66	0	0
FBtr0072762	889	715.663	75.3197	414.451
FBtr0346821	1270	1096.66	5.00657	42.2153
FBtr0331460	900	726.663	0	0
FBtr0303848	5005	4831.66	5.7521	213.687
FBtr0086122	1465	1291.66	0.604151	6
FBtr0335147	3125	2951.66	0	0
FBtr0081459	3019	2845.66	22.1517	484.67
FBtr0305321	6523	6349.66	1.08497	52.9694
FBtr0083716	5665	5491.66	20.6051	870.031
FBtr0078184	1305	1131.66	0.459713	4
FBtr0081691	765	591.663	0	0
FBtr0085263	1228	1054.66	0.0616595	0.5
FBtr0086342	492	318.857	0	0
FBtr0086343	495	321.857	0	0
FBtr0091847	1023	849.663	0.642923	4.20012
FBtr0072393	1393	1219.66	14.0219	131.493
FBtr0343502	867	693.663	5.74773e-08	3.0655e-07
FBtr0343753	3569	3395.66	3.57874	93.4352
FBtr0433525	3725	3551.66	0	0
FBtr0113895	961	787.663	28.1211	170.306
FBtr0345179	887	713.663	58.991	323.694
FBtr0334135	4703	4529.66	0	0
FBtr0334137	4561	4387.66	0.36996	12.4809
FBtr0334141	5321	5147.66	0	0
FBtr0334139	4203	4029.66	0	0
FBtr0334140	5704	5530.66	0	0
FBtr0344148	4894	4720.66	0	0
FBtr0334142	5071	4897.66	0	0
FBtr0334138	5563	5389.66	0	0
FBtr0334136	3862	3688.66	3.61517	102.531
FBtr0085105	995	821.663	11.0802	70
FBtr0346720	2745	2571.66	0	0
FBtr0076089	442	268.946	0	0
FBtr0087500	1417	1243.66	12.7585	122
FBtr0073094	1694	1520.66	6.04134	70.6354
FBtr0073093	1577	1403.66	72.8626	786.365
FBtr0343515	1092	918.663	0	0
FBtr0072451	975	801.663	9.40979	58
FBtr0071607	2252	2078.66	2.81561	45
FBtr0081516	4704	4530.66	0.114826	4
FBtr0300749	931	757.663	1.01607	5.91908
FBtr0346532	1185	1011.66	0.426426	3.31693
FBtr0073076	880	706.663	67.1341	364.764
FBtr0089289	4677	4503.66	3.8884	134.646
FBtr0100448	4590	4416.66	0.614315	20.8613
FBtr0089290	4681	4507.66	0.287543	9.96577
FBtr0089288	4037	3863.66	10.4321	309.904
FBtr0100447	4417	4243.66	1.44299	47.0826
FBtr0329933	4663	4489.66	0.011928	0.411752
FBtr0336949	2826	2652.66	22.0208	449.129
FBtr0088786	1378	1204.66	75.5128	699.427
FBtr0088785	1869	1695.66	18.9827	247.488
FBtr0303077	607	433.823	0	0
FBtr0339716	615	441.823	0	0
FBtr0085459	600	426.823	78.0074	256
FBtr0070973	1218	1044.66	0.622497	5
FBtr0089252	2767	2593.66	3.61049	72.0006
FBtr0334488	2840	2666.66	1.00146	20.5332
FBtr0334489	2902	2728.66	0.963407	20.2123
FBtr0100600	3804	3630.66	3.44807	96.2538
FBtr0300305	309	135.988	0	0
FBtr0077162	567	393.823	0	0
FBtr0072277	713	539.776	57.5875	239
FBtr0344898	1082	908.663	0	0
FBtr0086817	1175	1001.66	0	0
FBtr0333271	5146	4972.66	1.76097e-08	6.73284e-07
FBtr0072639	5149	4975.66	1.67441	64.0573
FBtr0340000	824	650.663	2.29503	11.4816
FBtr0087390	427	253.971	99.6139	194.518
FBtr0070472	3021	2847.66	0.080414	1.76066
FBtr0331752	4499	4325.66	20.0196	665.831
FBtr0070475	3174	3000.66	7.17266	165.483
FBtr0070474	3218	3044.66	1.43789	33.6604
FBtr0302185	2166	1992.66	1.32466	20.2953
FBtr0070471	4805	4631.66	7.78645	277.289
FBtr0112828	2903	2729.66	4.6973	98.5856
FBtr0301966	3182	3008.66	1.42482	32.9602
FBtr0070468	3055	2881.66	14.4895	321.035
FBtr0070476	2745	2571.66	0	0
FBtr0070470	3110	2936.66	3.59454e-08	8.11621e-07
FBtr0331751	4750	4576.66	0.811331	28.5498
FBtr0070469	4244	4070.66	12.8497	402.175
FBtr0070467	2929	2755.66	0	0
FBtr0331753	5004	4830.66	0.608264	22.592
FBtr0070466	2847	2673.66	0.0190868	0.392369
FBtr0070473	3091	2917.66	2.41253	54.1207
FBtr0076265	1575	1401.66	47.8795	516
FBtr0331935	1030	856.663	0	0
FBtr0088237	816	642.663	97.9503	484
FBtr0081705	1363	1189.66	0	0
FBtr0088524	1299	1125.66	86.8867	752
FBtr0074540	843	669.663	26.6077	137
FBtr0074494	1357	1183.66	0.659276	6
FBtr0085714	3349	3175.66	97.6454	2384.2
FBtr0085713	3440	3266.66	871.368	21885.8
FBtr0076256	334	160.988	1.61577	2
FBtr0339552	1718	1544.66	11.9515	141.942
FBtr0078950	1533	1359.66	28.798	301.058
FBtr0070990	1321	1147.66	1.26881	11.1961
FBtr0100409	805	631.663	1.36167	6.61322
FBtr0343330	706	532.776	106.734	437.225
FBtr0304902	1617	1443.66	0	0
FBtr0304901	2286	2112.66	0.0615621	1
FBtr0078872	1228	1054.66	0	0
FBtr0077839	2112	1938.66	15.6624	233.463
FBtr0077837	2331	2157.66	1.61155	26.7352
FBtr0077838	2235	2061.66	1.98839	31.5193
