Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0100504	15	10	8	64	36	55	8	15	11	33	49	68	30.73	11	50	4.39	2.134	4.306	1.65906621802697e-05	0.000448099854398704	0.0091	0.2379	0.12	0.12	TRUE	NA
FBtr0086675	343	114	133	673	215	337	178	171	187	344	295	418	265.44	179	352	1.973	0.98	4.282	1.85357413708132e-05	0.000497596055525123	0.0184	0.0505	0.0332	0.0332	TRUE	NA
FBtr0078346	1516	291	147	3912	472	685	785	436	207	1998	648	850	820.53	476	1165	2.403	1.265	4.277	1.89306992045339e-05	0.000506661118952208	0.0942	0.0339	0.0608	0.0608	TRUE	NA
FBtr0290205	101	57	66	200	160	147	52	85	93	102	220	182	122.47	77	168	2.142	1.099	4.269	1.96476220681397e-05	0.000523473015071475	0.0037	0.0791	0.0378	0.0378	TRUE	NA
FBtr0100353	707	196	236	1024	463	517	366	294	332	523	636	641	465.34	331	600	1.801	0.849	4.269	1.96779040510014e-05	0.000523491429422957	0.0148	0.0399	0.026	0.026	TRUE	NA
FBtr0331662	1223	84	65	1915	279	233	633	126	92	978	383	289	416.74	284	550	2.411	1.27	4.267	1.97994355218703e-05	0.000525933654380492	0.0776	0.0415	0.0584	0.0584	TRUE	NA
FBtr0086281	641	243	306	981	497	585	332	364	431	501	683	726	506	376	637	1.675	0.744	4.263	2.01964420650188e-05	0.000535675047334705	0.0052	0.0388	0.0197	0.0197	TRUE	NA
FBtr0343350	2278	537	549	3358	850	941	1179	804	773	1715	1167	1167	1134.35	919	1350	1.471	0.557	4.252	2.12223263751262e-05	0.000557038836650383	0	0.0317	0.0113	0.0113	TRUE	NA
FBtr0342819	100	74	66	420	185	141	52	111	93	214	254	175	149.84	85	214	2.655	1.409	4.247	2.1620251191296e-05	0.000564968779653201	0.0714	0.0694	0.0704	0.0704	TRUE	NA
FBtr0083122	707	270	221	1080	678	590	366	404	311	551	931	732	549.36	360	738	2.005	1.003	4.225	2.38674059572629e-05	0.000619117710835687	0.0391	0.0378	0.0384	0.0384	TRUE	NA
FBtr0347024	131	13	13	392	61	37	68	19	18	200	84	46	72.57	35	110	3.215	1.685	4.222	2.42610922738202e-05	0.000627489741836482	0.0511	0.1157	0.0852	0.0852	TRUE	NA
FBtr0074809	966	430	464	1393	743	816	500	644	654	711	1020	1012	756.94	599	914	1.515	0.599	4.214	2.50754117456948e-05	0.000645719227355293	3e-04	0.0345	0.0131	0.0131	TRUE	NA
FBtr0081258	2348	726	862	3228	1401	1549	1215	1087	1214	1648	1924	1922	1501.81	1172	1831	1.556	0.638	4.214	2.51321482347907e-05	0.000646239584915236	0.0061	0.0303	0.0158	0.0158	TRUE	NA
FBtr0300815	22	5	14	158	46	35	11	7	20	81	63	43	37.65	13	62	4.88	2.287	4.213	2.5170763754137e-05	0.000646293151777124	0.1073	0.199	0.16	0.16	TRUE	NA
FBtr0085137	609	88	180	1215	496	361	315	132	254	620	681	448	408.33	234	583	2.554	1.352	4.211	2.54580328618093e-05	0.000652721825156911	0.1058	0.0419	0.0708	0.0708	TRUE	NA
FBtr0071911	3399	1095	989	4838	1764	1968	1759	1640	1393	2471	2422	2442	2021.14	1597	2445	1.533	0.616	4.207	2.59299784899233e-05	0.000663048145638048	0.0055	0.0291	0.0149	0.0149	TRUE	NA
