Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0075341	7581	4353	4662	2002	2384	2820	3923	6520	6567	1022	3274	3499	4134.22	5670	2598	0.413	-1.277	-5.438	5.40033514260401e-08	2.57513016193551e-06	0.0516	0.0275	0.0395	0.0395	TRUE	NA
FBtr0074301	5827	2301	2654	3080	1612	1853	3016	3446	3739	1573	2214	2299	2714.35	3400	2029	0.59	-0.761	-5.417	6.04639014736468e-08	2.86773962726618e-06	0.0049	0.0283	0.0138	0.0138	TRUE	NA
FBtr0100176	72	94	80	21	24	19	37	141	113	11	33	24	59.67	97	23	0.242	-2.047	-5.4	6.65345231611661e-08	3.13883266465117e-06	0.0118	0.1351	0.074	0.074	TRUE	NA
FBtr0087530	9629	2281	1729	4513	1158	1149	4983	3416	2436	2305	1590	1425	2692.61	3612	1773	0.497	-1.009	-5.4	6.67299288076736e-08	3.13967864504403e-06	0.0216	0.0283	0.0247	0.0247	TRUE	NA
FBtr0332746	1784	721	792	742	481	473	923	1080	1116	379	661	587	790.85	1040	542	0.509	-0.976	-5.369	7.9013362172797e-08	3.68819364168589e-06	0.0132	0.0342	0.0223	0.0223	TRUE	NA
FBtr0082790	2497	732	1014	1106	410	574	1292	1096	1428	565	563	712	942.83	1272	613	0.481	-1.056	-5.367	8.00203494191131e-08	3.7155905553111e-06	0.0204	0.0328	0.0266	0.0266	TRUE	NA
FBtr0335012	1820	626	518	485	298	320	942	938	730	248	409	397	610.52	870	351	0.394	-1.345	-5.364	8.13413994292027e-08	3.76704371021473e-06	0.0496	0.0366	0.0432	0.0432	TRUE	NA
FBtr0303787	1431	611	444	551	276	210	741	915	625	281	379	261	533.69	760	307	0.403	-1.313	-5.344	9.11679737348855e-08	4.2111034552059e-06	0.0421	0.0381	0.0411	0.0411	TRUE	NA
FBtr0100462	2055	728	787	1324	425	499	1064	1090	1109	676	584	619	856.89	1088	626	0.576	-0.795	-5.337	9.47529702122855e-08	4.35396050915725e-06	0.0021	0.0335	0.0146	0.0146	TRUE	NA
FBtr0074432	65	78	74	17	17	24	34	117	104	9	23	30	52.75	85	21	0.246	-2.021	-5.334	9.59470691386332e-08	4.37474123745247e-06	0	0.1494	0.0704	0.0704	TRUE	NA
