Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0333277	410	142	176	254	107	109	212	213	248	130	147	135	180.78	224	137	0.611	-0.71	-3.377	0.000733110858333989	0.0199412203900339	0	0.1139	0.0257	0.0257	TRUE	0.0869
FBtr0306565	701	214	264	330	118	198	363	321	372	169	162	246	271.9	352	192	0.544	-0.878	-3.374	0.000740594408569697	0.0200619923691312	0.0234	0.1054	0.0445	0.0445	TRUE	0.6148
FBtr0330019	55	9	9	7	2	2	28	13	13	4	3	2	10.57	18	3	0.162	-2.626	-3.37	0.000751391917014755	0.0202988731679874	0	0.5207	0.2522	0.2522	TRUE	1.8418
FBtr0340273	775	287	215	419	158	188	401	430	303	214	217	233	299.67	378	221	0.585	-0.774	-3.368	0.000757121133894463	0.020397275525926	0.0138	0.1039	0.0343	0.0343	TRUE	0.3281
FBtr0075297	311	132	154	170	79	93	161	198	217	87	108	115	147.71	192	103	0.538	-0.893	-3.366	0.000762428455335651	0.020457289965078	0.0188	0.1196	0.0429	0.0429	TRUE	0.2468
FBtr0084963	1745	760	466	958	222	378	903	1138	656	489	305	469	660.15	899	421	0.469	-1.093	-3.356	0.000790456610406822	0.0210948440901416	0.0621	0.0956	0.0745	0.0745	TRUE	0.1081
FBtr0085373	5433	1780	2169	3778	1406	1710	2812	2666	3055	1929	1931	2121	2419.13	2844	1994	0.701	-0.513	-3.354	0.00079526875412539	0.0211661367602013	0.0032	0.0905	0.0164	0.0164	TRUE	0.0505
FBtr0339081	441	138	128	261	77	77	228	207	180	133	106	96	158.3	205	112	0.547	-0.871	-3.348	0.000812782850124719	0.0215742024982769	0.0169	0.1175	0.0415	0.0415	TRUE	0.3467
FBtr0300877	484	136	114	165	92	57	250	204	161	84	126	71	149.35	205	94	0.454	-1.141	-3.336	0.000851218655453676	0.0225335239187833	0.0575	0.1192	0.0761	0.0761	TRUE	0.243
FBtr0077972	611	107	130	165	53	94	316	160	183	84	73	117	155.54	220	91	0.412	-1.28	-3.319	0.00090292208010206	0.0236807481883531	0.0928	0.118	0.0989	0.0989	TRUE	1.7257
FBtr0100176	72	94	80	21	24	19	37	141	113	11	33	24	59.67	97	23	0.228	-2.133	-3.313	0.000924102311906926	0.024000672654284	0.3277	0.1652	0.2698	0.2698	TRUE	0.3344
FBtr0332862	289	97	73	81	33	65	150	145	103	41	45	81	94.17	133	56	0.416	-1.267	-3.312	0.000924829965237139	0.024000672654284	0.0709	0.1371	0.092	0.092	TRUE	1.1826
FBtr0332746	1784	721	792	742	481	473	923	1080	1116	379	661	587	790.85	1040	542	0.52	-0.942	-3.312	0.000926312242158367	0.0240076337990586	0.0438	0.0944	0.0568	0.0568	TRUE	0.8479
FBtr0075173	1050	355	245	412	184	227	543	532	345	210	253	282	360.82	473	248	0.522	-0.937	-3.302	0.000961425734752066	0.0246591360631934	0.0387	0.1013	0.0548	0.0548	TRUE	0.6332
FBtr0332089	131	80	64	36	27	35	68	120	90	18	37	43	62.78	93	33	0.35	-1.514	-3.296	0.000979004384877899	0.025071799794999	0.1151	0.1614	0.1301	0.1301	TRUE	0.3298
FBtr0300853	67	50	14	17	8	9	35	75	20	9	11	11	26.69	43	10	0.237	-2.077	-3.293	0.000991401286314982	0.0252967231443597	0.2067	0.2598	0.2244	0.2244	TRUE	0.3097
FBtr0334566	333	120	78	125	50	72	172	180	110	64	69	89	113.96	154	74	0.476	-1.07	-3.287	0.00101105678541564	0.0257318506198125	0.0406	0.1287	0.0659	0.0659	TRUE	0.6045
FBtr0112501	205	33	58	72	20	20	106	49	82	37	27	25	54.38	79	30	0.377	-1.409	-3.28	0.00103914023071602	0.0262104567122568	0.0808	0.1726	0.1093	0.1093	TRUE	0.1238
FBtr0073724	1656	534	693	944	448	460	857	800	976	482	615	571	716.84	878	556	0.632	-0.662	-3.27	0.00107385497400592	0.0269485813590953	0.0114	0.095	0.0279	0.0279	TRUE	0.1678
FBtr0310034	336	87	78	156	29	32	174	130	110	80	40	40	95.54	138	53	0.39	-1.358	-3.265	0.00109429553329943	0.0274267353244565	0.0994	0.1364	0.1112	0.1112	TRUE	1.0596
FBtr0302693	237	552	182	102	88	63	123	827	256	52	121	78	242.82	402	84	0.208	-2.267	-3.264	0.00109844673209609	0.027495929274937	0.4867	0.1075	0.3399	0.3399	TRUE	0.6786
FBtr0088666	188	100	99	132	44	53	97	150	139	67	60	66	96.69	129	64	0.508	-0.978	-3.264	0.00110006944574228	0.027501736143557	0.0252	0.1359	0.0526	0.0526	TRUE	0.5634
FBtr0343633	499	484	197	210	107	136	258	725	278	107	147	169	280.6	420	141	0.335	-1.577	-3.262	0.00110470200659411	0.0275826795207053	0.1936	0.1049	0.1633	0.1633	TRUE	4.5205
FBtr0302322	194	183	185	35	55	51	100	274	261	18	76	63	131.96	212	52	0.244	-2.033	-3.261	0.00110921515583253	0.0276604409919145	0.3532	0.1233	0.2673	0.2673	TRUE	3.451
FBtr0081484	895	237	272	424	52	40	463	355	383	217	71	50	256.48	400	113	0.283	-1.819	-3.247	0.0011673009991244	0.0288542215721063	0.2882	0.1064	0.2202	0.2202	TRUE	7.2151
FBtr0088337	68	34	63	12	16	13	35	51	89	6	22	16	36.52	58	15	0.245	-2.029	-3.236	0.00121150687465936	0.0298350541050919	0.2515	0.2137	0.2381	0.2381	TRUE	0.4012
FBtr0079268	2937	1050	1178	1607	771	908	1520	1573	1659	821	1059	1126	1293	1584	1002	0.632	-0.663	-3.234	0.00122157746766981	0.0300456398298142	0.014	0.0922	0.0294	0.0294	TRUE	0.3097
