Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0472700	122	63	65	259	340	346	63	94	92	132	467	429	212.91	83	343	4.138	2.049	3.972	7.13498471901072e-05	0.00285039035996842	0.2222	0.1101	0.1834	0.1834	TRUE	2.3644
FBtr0308644	23	10	18	105	60	40	12	15	25	54	82	50	39.65	17	62	3.652	1.869	3.971	7.15831670949042e-05	0.0028539458252051	0.0749	0.2038	0.1194	0.1194	TRUE	0.7027
FBtr0304018	559	142	176	1128	300	407	289	213	248	576	412	505	373.81	250	498	1.986	0.99	3.967	7.2919195998742e-05	0.00290136237600628	0.0233	0.1009	0.0416	0.0416	TRUE	0.1489
FBtr0080382	13	6	4	62	31	18	7	9	6	32	43	22	19.65	7	32	4.564	2.19	3.956	7.62588121049049e-05	0.00301603601874899	0	0.3211	0.1319	0.1319	TRUE	0.0779
FBtr0075492	2397	751	910	3500	1401	1772	1241	1125	1282	1787	1924	2198	1592.81	1216	1970	1.619	0.695	3.934	8.36131880019216e-05	0.00327380038169995	0.0069	0.0915	0.0218	0.0218	TRUE	0.1242
FBtr0081620	70	31	20	179	82	62	36	46	28	91	113	77	65.29	37	94	2.539	1.344	3.931	8.45805824813361e-05	0.00329897636798505	0.0174	0.1586	0.0641	0.0641	TRUE	0.1634
FBtr0081635	4695	1100	1386	9433	2666	2869	2430	1648	1952	4817	3661	3559	3011.2	2010	4012	1.995	0.997	3.91	9.21822677422429e-05	0.00355341977505429	0.0338	0.0902	0.0464	0.0464	TRUE	0.4085
FBtr0082167	560	152	184	928	305	359	290	228	259	474	419	445	352.46	259	446	1.716	0.779	3.899	9.6706563003918e-05	0.00371334423961646	0.0061	0.1016	0.0255	0.0255	TRUE	0.1361
FBtr0342820	108	82	71	494	209	168	56	123	100	252	287	208	171.07	93	249	2.72	1.444	3.896	9.77205592347648e-05	0.00374500786602224	0.0799	0.1153	0.0908	0.0908	TRUE	0.7769
FBtr0083765	1017	380	461	2576	697	784	526	569	649	1315	957	973	831.69	581	1082	1.865	0.899	3.871	0.000108597597156993	0.00412984131496066	0.0213	0.0941	0.0374	0.0374	TRUE	0.4367
FBtr0300542	97	60	45	268	136	133	50	90	63	137	187	165	115.35	68	163	2.431	1.282	3.871	0.000108528376352973	0.00412984131496066	0.0427	0.1282	0.0676	0.0676	TRUE	0.4572
FBtr0073425	40	5	15	170	60	33	21	7	21	87	82	41	43.24	16	70	4.174	2.062	3.861	0.000112902695366423	0.00428531823583689	0.1476	0.1943	0.1659	0.1659	TRUE	1.0999
FBtr0306254	1557	262	376	2712	961	1089	806	392	530	1385	1320	1351	963.92	576	1352	2.34	1.227	3.857	0.000114874064779266	0.00435179048086205	0.0652	0.0934	0.0715	0.0715	TRUE	1.4606
FBtr0303819	7	5	2	70	16	16	4	7	3	36	22	20	15.25	5	26	5.944	2.571	3.848	0.000119298515212822	0.00449357740634963	0.0769	0.3882	0.187	0.187	TRUE	0.9764
