Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0027552	2688	641	841	1443	603	752	1352	1003	1199	737	844	920	1009.11	1185	834	0.701	-0.513	-3.316	0.000914748627630542	0.013590120467829	0.0155	0.0158	0.0161	0.0161	TRUE	0.1837
FBgn0031126	926	296	280	653	211	255	466	463	399	333	295	312	378.13	443	313	0.71	-0.495	-3.312	0.000927130828462111	0.0137514240313673	0.0032	0.0218	0.0132	0.0132	TRUE	0.0805
FBgn0028490	18231	6524	6656	11208	5303	6406	9170	10204	9486	5724	7424	7841	8308.05	9620	6996	0.727	-0.46	-3.311	0.000929903486657186	0.0137699008910911	0.0142	0.0126	0.0138	0.0138	TRUE	0.3117
FBgn0034804	82	30	40	38	14	17	41	47	57	19	20	21	34.16	48	20	0.415	-1.268	-3.304	0.00095442004115981	0.014086677465105	0	0.1188	0.0699	0.0699	TRUE	0.1941
FBgn0004865	166	56	54	93	29	33	83	88	77	47	41	40	62.75	83	43	0.524	-0.933	-3.301	0.000961941306773525	0.0141431808796787	0	0.0702	0.0394	0.0394	TRUE	0.102
FBgn0033174	1131	350	395	783	295	359	569	547	563	400	413	439	488.58	560	417	0.744	-0.428	-3.299	0.000970494890544364	0.0142307689803725	0	0.0196	0.0099	0.0099	TRUE	0.0242
FBgn0270927	2026	632	709	1608	537	610	1019	988	1010	821	752	747	889.59	1006	773	0.77	-0.377	-3.294	0.000987579738686949	0.0144577826030502	0	0.0163	0.0082	0.0082	TRUE	0.038
FBgn0025681	7080	2839	2792	4700	2253	2496	3561	4440	3979	2400	3154	3055	3431.65	3993	2870	0.718	-0.477	-3.293	0.000992384594934414	0.0144811072445284	0.0158	0.0132	0.0148	0.0148	TRUE	0.2535
FBgn0036059	2079	561	627	1517	395	497	1046	877	894	775	553	608	792.12	939	645	0.689	-0.538	-3.292	0.000996088054013788	0.0145116673200264	0.0189	0.0168	0.0178	0.0178	TRUE	0.3812
FBgn0000078	158	31	75	56	32	23	79	48	107	29	45	28	56.07	78	34	0.425	-1.236	-3.283	0.00102631537383022	0.0149279226470983	0.0846	0.0772	0.0799	0.0799	TRUE	0.1002
FBgn0000395	1231	441	351	869	296	327	619	690	500	444	414	400	511.26	603	419	0.697	-0.521	-3.282	0.00102913487304263	0.0149407529224604	0.0118	0.0193	0.016	0.016	TRUE	0.2451
FBgn0020416	19557	5467	7207	15670	4835	5707	9837	8551	10271	8002	6769	6985	8402.54	9553	7252	0.759	-0.397	-3.274	0.00106174182445059	0.0152951881356156	0.0083	0.0126	0.0105	0.0105	TRUE	0.1022
FBgn0010768	770	243	245	459	185	237	387	380	349	234	259	290	316.67	372	261	0.697	-0.521	-3.262	0.00110808773892173	0.0157863115791409	0.0046	0.0237	0.0149	0.0149	TRUE	0.1071
FBgn0029870	5147	1788	1884	3860	1554	1809	2589	2797	2685	1971	2175	2214	2405.23	2690	2120	0.788	-0.344	-3.257	0.00112552821913809	0.0160094849845225	0.0024	0.0137	0.0076	0.0076	TRUE	0.0477
FBgn0036454	1770	689	613	1250	498	604	890	1078	874	638	697	739	819.39	947	691	0.73	-0.454	-3.255	0.0011330313384431	0.0160908293072123	0.008	0.0166	0.0127	0.0127	TRUE	0.1656
FBgn0015795	5712	1379	1632	3918	1143	1317	2873	2157	2326	2001	1600	1612	2094.79	2452	1738	0.709	-0.497	-3.249	0.00115670508744595	0.016347080793771	0.0195	0.0139	0.0163	0.0163	TRUE	0.2788
FBgn0264090	82	26	24	29	13	9	41	41	34	15	18	11	26.69	39	15	0.376	-1.411	-3.249	0.00115832608418936	0.016347080793771	0	0.1487	0.0882	0.0882	TRUE	0.1507
FBgn0028394	346	110	141	242	67	98	174	172	201	124	94	120	147.39	182	113	0.624	-0.681	-3.248	0.0011639594102463	0.0163828806230665	0.0051	0.0369	0.0242	0.0242	TRUE	0.1773
FBgn0029608	1404	459	578	897	387	491	706	718	824	458	542	601	641.45	749	534	0.71	-0.494	-3.244	0.00117676924788575	0.016504051442354	0.0116	0.0179	0.0149	0.0149	TRUE	0.1972
