Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0036007	2033	669	681	3492	1225	1166	1023	1046	971	1783	1715	1427	1327.47	1013	1642	1.622	0.698	5.422	5.89601222391445e-08	2.60999939075163e-06	0.0071	0.0149	0.011	0.011	TRUE	0.1562
FBgn0285963	2888	892	1063	4044	1541	1783	1453	1395	1515	2065	2157	2182	1794.59	1454	2135	1.467	0.553	5.422	5.90419023855991e-08	2.60999939075163e-06	6e-04	0.0142	0.0069	0.0069	TRUE	0.0151
FBgn0030805	419	162	187	774	381	446	211	253	267	395	533	546	367.53	244	491	2.023	1.017	5.407	6.4082871468195e-08	2.81902114585455e-06	0.0221	0.0221	0.0221	0.0221	TRUE	0.37
FBgn0063493	339	113	131	667	213	337	171	177	187	341	298	412	264.21	178	350	1.975	0.982	5.36	8.33714020163422e-08	3.59733637982476e-06	0.0113	0.026	0.0196	0.0196	TRUE	0.2135
FBgn0020248	30	11	9	109	44	57	15	17	13	56	62	70	38.69	15	63	4.129	2.046	5.33	9.80049916684084e-08	4.18866831689909e-06	0	0.1063	0.0633	0.0633	TRUE	0.1018
FBgn0027949	2346	725	862	3222	1398	1546	1180	1134	1228	1645	1957	1892	1506.2	1181	1831	1.548	0.631	5.298	1.16973067261432e-07	4.95240901673049e-06	0.0046	0.0146	0.0094	0.0094	TRUE	0.0993
FBgn0037739	575	161	193	968	326	369	289	252	275	494	456	452	369.74	272	467	1.713	0.777	5.292	1.21117355699147e-07	5.10390800792012e-06	0	0.022	0.0124	0.0124	TRUE	0.0428
FBgn0036299	764	321	370	1465	658	834	384	502	527	748	921	1021	683.96	471	897	1.91	0.933	5.255	1.47635690673392e-07	6.16379008561413e-06	0.0253	0.0175	0.0209	0.0209	TRUE	0.3197
FBgn0035266	410	156	211	797	435	510	206	244	301	407	609	624	398.52	250	547	2.19	1.131	5.228	1.70948643365861e-07	7.10421597176652e-06	0.0434	0.0213	0.0305	0.0305	TRUE	0.6218
FBgn0015568	276	73	126	533	225	257	139	114	180	272	315	315	222.38	144	301	2.08	1.056	5.193	2.06416222125285e-07	8.46118859602647e-06	0.0167	0.0286	0.0242	0.0242	TRUE	0.4017
FBgn0034391	76	29	23	195	76	88	38	45	33	100	106	108	71.67	39	105	2.7	1.433	5.183	2.18665874600792e-07	8.88256241959432e-06	0	0.063	0.0364	0.0364	TRUE	0.1004
FBgn0038341	573	220	233	966	450	486	288	344	332	493	630	595	447.08	321	573	1.785	0.836	5.176	2.26384784857458e-07	9.15487887822672e-06	0.0114	0.0203	0.0161	0.0161	TRUE	0.1867
FBgn0031117	406	140	189	724	353	457	204	219	269	370	494	559	352.63	231	474	2.057	1.04	5.136	2.80577405928933e-07	1.11957833923324e-05	0.0307	0.0225	0.026	0.026	TRUE	0.2828
FBgn0004396	4355	1157	931	8230	2270	2570	2191	1810	1327	4203	3178	3146	2642.21	1776	3509	1.974	0.981	5.122	3.02630328452874e-07	1.19698258859124e-05	0.0438	0.0136	0.026	0.026	TRUE	0.5581
FBgn0003317	2065	698	826	3163	1178	1302	1039	1092	1177	1615	1649	1594	1360.93	1103	1619	1.471	0.557	5.097	3.45193560497894e-07	1.34759979591775e-05	0.0013	0.0149	0.0078	0.0078	TRUE	0.0417
FBgn0039593	45	7	19	150	48	67	23	11	27	77	67	82	47.74	20	75	3.643	1.865	5.065	4.09173314423748e-07	1.58365877659801e-05	0	0.0885	0.0653	0.0653	TRUE	0.5056
FBgn0034354	521	164	248	962	374	487	262	257	353	491	524	596	413.82	291	537	1.852	0.889	5.06	4.19910777849132e-07	1.61827153617242e-05	0.017	0.021	0.0193	0.0193	TRUE	0.3741
FBgn0036862	504	167	138	923	283	347	254	261	197	471	396	425	333.94	237	431	1.816	0.861	5.016	5.27268792734417e-07	2.02336594590595e-05	0.01	0.0231	0.0177	0.0177	TRUE	0.2201
FBgn0037468	5629	1203	1496	10472	2852	3048	2831	1882	2132	5348	3993	3731	3319.33	2282	4357	1.908	0.932	5.012	5.389840864777e-07	2.05086856196452e-05	0.0426	0.0133	0.0245	0.0245	TRUE	0.5458
FBgn0032089	172	55	58	323	121	160	87	86	83	165	169	196	130.9	85	177	2.068	1.048	4.969	6.71627480586481e-07	2.53419942256439e-05	0	0.04	0.0228	0.0228	TRUE	0.0915
FBgn0086906	1912	674	624	2856	1281	1155	962	1054	889	1458	1793	1414	1261.78	968	1555	1.605	0.682	4.876	1.08421820483955e-06	4.023654226849e-05	0.0113	0.0151	0.0132	0.0132	TRUE	0.2114
FBgn0259740	1059	285	356	2196	544	666	533	446	507	1121	762	815	697.33	495	899	1.818	0.862	4.857	1.19472499885928e-06	4.39756328151552e-05	0.025	0.0174	0.021	0.021	TRUE	0.5743
FBgn0035811	1118	488	611	2227	1041	1199	562	763	871	1137	1457	1468	1043.09	732	1354	1.855	0.891	4.842	1.28652753138351e-06	4.69712764292167e-05	0.0309	0.0157	0.0232	0.0232	TRUE	0.5191
FBgn0266064	5045	1827	1985	7125	3172	3499	2538	2858	2829	3638	4441	4283	3430.99	2742	4121	1.503	0.588	4.832	1.35317292262579e-06	4.89808713787801e-05	0.0069	0.0132	0.0103	0.0103	TRUE	0.1296
FBgn0039381	1234	456	539	2086	823	852	621	713	768	1065	1152	1043	893.72	701	1087	1.556	0.638	4.826	1.39476846293173e-06	5.01116414291568e-05	0.0061	0.0163	0.0113	0.0113	TRUE	0.1306
FBgn0266801	338	124	82	673	221	249	170	194	117	344	309	305	239.78	160	319	1.992	0.994	4.821	1.42929820201846e-06	5.11484570865178e-05	0.0223	0.0274	0.0256	0.0256	TRUE	0.5096
FBgn0032635	967	338	375	1490	563	631	486	529	534	761	788	772	645.15	516	774	1.502	0.587	4.806	1.5400264442969e-06	5.45497246334187e-05	0	0.0178	0.009	0.009	TRUE	0.0351
FBgn0259821	266	79	66	591	179	167	134	124	94	302	251	204	184.7	117	252	2.145	1.101	4.805	1.5488208667917e-06	5.4559635065342e-05	0.03	0.0319	0.0311	0.0311	TRUE	0.1231
FBgn0031049	612	162	244	1394	375	399	308	253	348	712	525	488	439.03	303	575	1.903	0.928	4.755	1.9822137118893e-06	6.84889013556234e-05	0.0302	0.0205	0.0247	0.0247	TRUE	0.5336
